City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Beloha,MG,-25.17,45.05,62.13,84,1,3.33
Lermontovka,RU,47.15,134.34,57.07,92,0,1.03
Charlestown,AU,-32.95,151.67,51.01,86,0,3.0
Tāybād,IR,34.74,60.78,75.65,19,0,14.14
Hermanus,ZA,-34.42,19.23,54.0,90,18,7.63
Harper,LR,4.38,-7.72,77.13,81,54,10.74
Half Moon Bay,US,37.46,-122.43,80.01,72,5,3.36
Hasaki,JP,35.73,140.83,79.0,88,75,14.99
Tasiilaq,GL,65.61,-37.64,48.2,87,40,31.09
Kavieng,PG,-2.57,150.8,81.55,78,88,8.9
Almaznyy,RU,48.04,40.05,78.8,54,43,8.95
Caravelas,BR,-17.71,-39.25,73.42,89,100,4.88
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,66.33,43,18,15.01
Provideniya,RU,64.38,-173.3,43.21,89,100,8.43
Santa Cruz de la Sierra,BO,-17.8,-63.17,80.6,69,40,23.04
Rāzole,IN,16.48,81.83,83.97,81,35,4.12
Husavik,IS,66.04,-17.34,55.4,58,1,13.87
Lorengau,PG,-2.02,147.27,81.93,73,100,5.75
Ilulissat,GL,69.22,-51.1,42.8,81,75,5.82
Khatanga,RU,71.97,102.5,66.72,64,87,6.91
Bethel,US,41.37,-73.41,71.6,78,75,5.82
Quatre Cocos,MU,-20.21,57.76,68.0,82,20,2.24
Lingyuan,CN,41.24,119.4,67.62,64,88,2.84
Guerrero Negro,MX,27.98,-114.06,74.53,52,2,10.4
Kuusamo,FI,65.97,29.18,53.6,100,90,6.93
Qaanaaq,GL,77.48,-69.36,40.66,76,92,2.24
Chui,UY,-33.7,-53.46,58.86,96,100,5.03
George Town,MY,5.41,100.34,82.4,94,20,5.82
Oroquieta,PH,8.49,123.8,76.51,73,51,3.09
Saldanha,ZA,-33.01,17.94,62.6,67,0,1.12
Saskylakh,RU,71.92,114.08,79.02,37,19,8.12
Dunda,TZ,-8.12,34.25,68.7,58,95,5.5
Gornopravdinsk,RU,60.05,69.9,48.13,84,1,3.98
Pińczów,PL,50.52,20.53,72.0,1,15,6.73
Karanpura,IN,29.1,75.09,103.53,22,3,3.78
Albany,US,42.6,-73.97,78.01,70,73,3.96
Cansanção,BR,-10.67,-39.5,83.03,48,54,8.77
Airai,TL,-8.93,125.41,54.59,83,92,1.92
Butaritari,KI,3.07,172.79,81.82,73,27,3.67
Sitka,US,57.05,-135.33,53.6,81,90,4.7
Port Augusta,AU,-32.5,137.77,46.0,56,0,10.29
Izhma,RU,65.01,53.91,52.32,68,55,3.11
Turinsk,RU,58.05,63.7,48.56,78,100,4.16
Neiafu,TO,-18.65,-173.98,78.08,84,51,10.45
Geraldton,AU,-28.77,114.6,60.8,87,75,4.7
Mbanza-Ngungu,CD,-5.25,14.87,74.21,61,71,4.56
Balabac,PH,7.99,117.06,82.24,80,82,10.13
Lavrentiya,RU,65.58,-171.0,43.99,77,100,9.51
Avarua,CK,-21.21,-159.78,75.2,78,77,13.87
Hamilton,US,39.18,-84.53,87.01,66,40,4.21
Port Elizabeth,ZA,-33.92,25.57,60.8,77,0,8.05
Erenhot,CN,43.65,111.98,71.92,40,42,6.53
Micheweni,TZ,-4.97,39.83,76.59,82,55,13.18
East London,ZA,-33.02,27.91,60.98,67,1,8.52
Zaplavnoye,RU,48.7,45.02,75.2,36,0,4.47
Rincon,US,32.3,-81.24,97.0,49,75,11.41
Saint-Philippe,RE,-21.36,55.77,68.0,60,28,6.93
Kahului,US,20.89,-156.47,80.6,69,40,14.99
Sahuaripa,MX,29.05,-109.23,94.48,26,0,3.31
Vaini,TO,-21.2,-175.2,73.13,84,72,15.46
Tashtyp,RU,52.79,89.9,55.11,85,95,0.76
Kieta,PG,-6.22,155.63,78.13,77,98,1.43
Bengkulu,ID,-3.8,102.27,76.1,77,0,3.85
Revelstoke,CA,50.98,-118.2,71.96,42,1,4.88
Santiago,CL,-33.46,-70.65,51.8,66,75,2.24
Hong Kong,HK,22.29,114.16,82.0,82,100,5.01
Gandajika,CD,-6.75,23.95,77.36,27,74,3.56
Bontang,ID,0.13,117.5,77.29,86,16,3.22
Tynda,RU,55.17,124.72,58.93,63,29,2.98
Sur,OM,22.57,59.53,84.2,75,1,15.7
Sungai Penuh,ID,-2.08,101.38,62.8,91,7,4.27
Mount Isa,AU,-20.73,139.5,62.6,51,0,2.24
Kiunga,PG,-6.12,141.29,71.71,98,99,2.35
Tiksi,RU,71.69,128.87,45.05,65,1,5.12
Coquimbo,CL,-29.95,-71.34,59.0,77,36,10.29
Khislavichi,RU,54.19,32.16,59.54,94,77,5.64
Port Hedland,AU,-20.32,118.57,64.4,59,25,5.82
Pangnirtung,CA,66.15,-65.71,37.4,93,90,10.29
Yellowknife,CA,62.46,-114.35,75.99,43,20,6.93
Vila Velha,BR,-20.33,-40.29,75.0,78,75,2.24
Castro,BR,-24.79,-50.01,66.61,74,2,21.99
Kiryat Gat,IL,31.61,34.76,80.01,81,0,3.6
Necochea,AR,-38.55,-58.74,48.99,77,100,18.01
Orán,AR,-23.13,-64.33,77.0,26,0,5.01
Lompoc,US,34.64,-120.46,64.99,77,0,8.05
Thompson,CA,55.74,-97.86,57.2,93,90,11.41
Lumby,CA,50.25,-118.97,63.0,80,33,4.0
Bismil,TR,37.85,40.67,91.4,22,75,11.41
Mahébourg,MU,-20.41,57.7,68.0,82,20,2.24
Wajima,JP,37.4,136.9,71.56,94,100,9.1
Christchurch,NZ,-43.53,172.63,43.0,86,82,17.22
Phuket,TH,8.0,98.25,80.6,88,20,2.24
Tubualá,PA,9.52,-79.03,89.6,70,40,5.82
Beeville,US,28.4,-97.75,90.0,70,40,12.75
Souillac,MU,-20.52,57.52,68.0,82,20,2.24
Jamestown,US,42.1,-79.24,78.01,53,40,11.41
Yangi Marg`ilon,UZ,40.43,71.72,80.6,30,98,2.24
Pevek,RU,69.7,170.31,34.41,97,97,8.93
Pacific Grove,US,36.62,-121.92,73.99,77,1,4.7
Norman Wells,CA,65.28,-126.83,68.0,60,75,16.11
Upington,ZA,-28.45,21.26,62.6,29,0,1.12
Byron Bay,AU,-28.65,153.62,51.01,100,75,6.06
Quelimane,MZ,-17.88,36.89,71.6,73,20,6.93
Lesozavodsk,RU,45.48,133.42,58.48,94,22,4.32
Babu,CN,24.42,111.52,79.7,77,100,1.28
Ancud,CL,-41.87,-73.82,51.01,93,90,14.99
Carnarvon,AU,-24.87,113.63,59.0,100,4,9.17
Tigil',RU,57.8,158.67,48.7,84,58,3.27
Livermore,US,37.68,-121.77,84.99,31,1,3.13
Chicama,PE,-7.84,-79.15,72.52,58,25,10.42
Constitución,CL,-35.33,-72.42,55.62,72,88,6.26
Gouyave,GD,12.16,-61.73,86.0,70,40,23.04
Kruisfontein,ZA,-34.0,24.73,52.09,81,0,5.95
Sabha,LY,27.04,14.43,91.98,14,0,4.05
Smolyaninovo,RU,43.3,132.47,57.2,100,100,2.1
São Filipe,CV,14.9,-24.5,75.94,69,7,16.37
Saint-Joseph,RE,-21.37,55.62,68.0,60,21,6.93
Kargil,IN,34.57,76.1,58.71,36,4,8.28
Srednekolymsk,RU,67.45,153.68,47.19,62,36,7.76
Gračac,HR,44.3,15.85,86.0,45,10,6.93
Saint Paul Harbor,US,57.79,-152.41,55.4,66,1,8.05
Lüderitz,NA,-26.65,15.16,71.6,24,0,3.36
Lishui,CN,28.46,119.91,73.89,89,50,1.07
Normandin,CA,48.83,-72.53,73.4,64,20,5.82
Socorro,US,31.65,-106.3,88.0,27,5,17.22
Ustka,PL,54.58,16.86,61.74,78,88,20.83
Kulachi,PK,31.93,70.46,95.79,34,18,12.17
Broken Hill,AU,-31.95,141.43,55.4,32,75,13.87
Narsaq,GL,60.92,-46.05,55.4,50,40,9.17
Hokitika,NZ,-42.72,170.97,41.85,69,0,5.91
Boueni,YT,-12.9,45.08,77.0,73,45,12.75
Nuuk,GL,64.18,-51.72,51.8,66,20,8.05
Bredasdorp,ZA,-34.53,20.04,55.4,87,14,3.36
Sola,VU,-13.88,167.55,77.23,81,60,25.23
Durban,ZA,-29.86,31.03,62.6,77,75,2.24
Moa,CU,20.66,-74.94,87.06,59,5,11.95
Cidreira,BR,-30.18,-50.21,61.5,97,100,5.86
Turukhansk,RU,65.82,87.98,53.78,87,49,12.57
Grand Gaube,MU,-20.01,57.66,68.0,80,2,5.99
Mackay,AU,-21.15,149.2,62.6,93,75,6.93
Chotila,IN,22.42,71.18,84.99,10,56,6.31
Lata,PT,40.16,-8.33,73.0,82,90,11.41
Forsytheganj,BY,52.63,29.73,64.13,83,9,5.08
Inuvik,CA,68.35,-133.72,60.8,72,75,5.53
Palmer,US,42.16,-72.33,73.99,69,75,3.15
Adolfo López Mateos,MX,28.47,-107.3,79.0,28,58,8.01
Nantucket,US,41.28,-70.1,73.4,73,90,6.93
Tocopilla,CL,-22.09,-70.2,69.98,40,5,4.23
Raja,SS,8.46,25.68,72.97,90,82,5.19
Nuevo Laredo,MX,27.48,-99.52,91.4,62,40,14.99
Comodoro Rivadavia,AR,-45.87,-67.5,44.6,81,75,3.36
Castlegar,CA,49.3,-117.67,59.0,72,9,5.5
Hirara,JP,24.8,125.28,84.09,85,100,20.62
Ampanihy,MG,-24.7,44.75,62.06,76,1,3.4
Mina,MX,26.0,-100.53,84.0,74,90,6.93
Tandil,AR,-37.32,-59.13,48.0,90,100,8.01
Aripuanã,BR,-9.17,-60.63,95.43,33,53,2.21
Grindavik,IS,63.84,-22.43,50.0,81,90,12.75
Digras,IN,20.12,77.72,81.3,73,16,6.76
Nome,US,64.5,-165.41,46.0,81,90,9.17
Padang,ID,-0.95,100.35,77.76,80,15,5.59
Cap Malheureux,MU,-19.98,57.61,68.0,80,3,5.99
Delta del Tigre,UY,-34.76,-56.39,53.6,93,90,23.04
Prince George,CA,53.92,-122.75,55.0,81,90,5.82
Bilma,NE,18.69,12.92,88.86,12,0,2.68
Yeppoon,AU,-23.13,150.73,64.4,72,90,8.05
Kendari,ID,-3.94,122.5,73.49,92,6,2.93
Pinawa,CA,50.15,-95.88,89.22,39,57,4.43
Ouango,CF,4.31,22.56,72.73,93,97,3.27
Riyadh,SA,24.69,46.72,102.2,12,2,6.93
Yulara,AU,-25.24,130.99,48.2,39,0,6.93
Labé,GN,11.32,-12.28,75.2,85,37,2.15
Mehrān,IR,33.12,46.16,78.8,21,0,2.24
Rocha,UY,-34.48,-54.33,56.23,95,100,13.69
Sarangani,PH,5.4,125.46,83.34,70,18,4.99
Acapulco de Juárez,MX,16.86,-99.89,87.8,66,40,6.93
Ciudad Real,ES,39.0,-4.0,97.0,17,0,5.01
Werda,BW,-25.27,23.28,57.88,32,0,5.48
Horki,BY,54.29,30.98,60.8,87,50,4.23
Lafiagi,NG,8.87,5.42,80.22,81,64,2.13
Hofn,IS,64.25,-15.21,44.73,79,27,11.68
Tagusao,PH,9.19,117.81,80.2,77,24,6.08
Namatanai,PG,-3.67,152.43,78.85,80,92,4.83
La Ronge,CA,55.1,-105.28,57.2,93,90,11.41
Plaster Rock,CA,46.91,-67.39,73.4,64,75,10.29
Puerto Escondido,MX,15.85,-97.07,87.8,66,75,10.71
Vanimo,PG,-2.67,141.3,77.88,79,82,2.73
Hudson Bay,CA,52.85,-102.38,65.14,94,100,9.89
Breves,BR,-1.68,-50.48,88.39,58,3,4.07
Boyolangu,ID,-8.12,111.89,74.3,89,95,4.79
Young,UY,-32.68,-57.63,52.0,93,100,7.0
Aklavik,CA,68.22,-135.01,62.6,72,75,3.36
Ji’an,CN,27.12,114.98,78.22,90,97,2.35
Verkhnyaya Inta,RU,65.98,60.31,41.68,86,92,10.16
San Vicente,AR,-26.62,-54.13,59.79,96,100,7.72
Horadiz,AZ,39.45,47.34,77.0,50,98,9.17
Pacocha,PE,-17.58,-71.33,67.3,59,6,9.28
Luanda,AO,-8.84,13.23,73.4,88,20,8.05
Jiujiang,CN,29.73,115.98,79.84,84,49,3.91
Alvand,IR,36.32,49.17,55.94,50,7,7.76
Longyearbyen,SJ,78.22,15.64,48.2,42,75,6.93
Pamanukan,ID,-6.28,107.81,75.31,87,24,5.39
Río Gallegos,AR,-51.62,-69.22,30.2,80,20,1.12
Ribeira Grande,PT,38.52,-28.7,71.6,83,40,20.8
Angoram,PG,-4.06,144.07,72.48,98,100,2.01
Santoña,ES,43.44,-3.46,71.6,78,40,5.82
Kadugannawa,LK,7.25,80.52,69.76,92,90,2.15
Potosí,BO,-19.58,-65.75,53.44,25,0,7.99
San Quintín,MX,30.48,-115.95,68.41,60,25,11.43
Sechura,PE,-5.56,-80.82,75.85,54,61,11.52
Port Lincoln,AU,-34.73,135.87,54.34,81,0,16.67
Kalianget,ID,-7.05,113.93,80.08,81,42,10.27
Martinez,US,38.02,-122.13,84.99,44,1,2.91
Pascagoula,US,30.37,-88.56,91.99,59,75,8.05
Tateyama,JP,34.98,139.87,77.0,94,75,17.22
Tuatapere,NZ,-46.13,167.68,39.0,83,76,3.0
Xichang,CN,27.9,102.26,65.93,75,100,1.9
Lagoa,PT,39.05,-27.98,66.43,90,97,9.15
Chapais,CA,49.78,-74.85,80.6,42,1,8.05
Leningradskiy,RU,69.38,178.42,33.55,96,100,4.65
Butembo,CD,0.15,29.28,60.01,83,47,2.68
Isangel,VU,-19.55,169.27,67.44,68,0,13.33
Nurlat,RU,54.43,50.81,47.91,88,17,4.68
Fuerte Olimpo,PY,-21.04,-57.87,92.79,34,0,12.64
Parintins,BR,-2.63,-56.74,85.75,70,48,4.36
Lityn,UA,49.33,28.08,71.6,64,0,6.71
Port-Gentil,GA,-0.72,8.78,75.2,83,75,9.17
Klaksvík,FO,62.23,-6.59,50.0,66,99,11.41
Faya,SA,18.39,42.45,78.8,50,40,5.82
Shelburne,CA,44.08,-80.2,82.4,45,20,11.41
Corning,US,42.14,-77.05,73.4,69,90,6.93
Prainha,BR,-1.8,-53.48,84.83,68,31,6.17
Katsuura,JP,35.13,140.3,78.01,94,75,17.22
Deputatsky,RU,69.3,139.9,48.58,67,38,2.77
Taoudenni,ML,22.68,-3.98,113.31,5,0,12.44
Tucupita,VE,9.06,-62.05,81.39,83,97,5.84
Örnsköldsvik,SE,63.29,18.72,64.4,59,100,11.41
Talnakh,RU,69.49,88.4,57.2,71,28,15.66
Chifeng,CN,42.27,118.96,68.63,65,95,3.09
Nanga Eboko,CM,4.68,12.37,69.26,96,93,1.23
Port Hardy,CA,50.7,-127.42,55.4,82,90,10.29
Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.0,73,75,16.11
Vir,HR,44.3,15.09,86.0,45,0,6.93
Boyuibe,BO,-20.42,-63.28,70.11,41,0,12.97
Batemans Bay,AU,-35.72,150.18,45.0,90,0,1.01
Buraidah,SA,26.33,43.98,102.2,20,8,6.93
Morón,AR,-34.65,-58.62,52.0,99,100,10.0
Carnduff,CA,49.17,-101.8,74.17,89,100,12.5
Paredon,MX,16.03,-93.87,82.58,79,98,6.58
Panabá,MX,21.28,-88.27,90.9,61,17,8.48
Abomsa,ET,9.98,39.98,84.2,32,19,5.17
North Port,US,27.04,-82.24,96.01,60,27,4.0
Juneau,US,58.3,-134.42,57.99,67,90,4.7
Walvis Bay,NA,-22.96,14.51,72.0,41,0,1.99
Upernavik,GL,72.79,-56.15,40.12,75,53,10.51
Beringovskiy,RU,63.05,179.32,41.4,97,100,7.02
Vung Tau,VN,10.35,107.08,80.42,82,100,11.01
Egvekinot,RU,66.32,-179.17,34.32,97,96,11.77
Yola,NG,9.2,12.48,79.25,74,98,2.95
Kupang,ID,-10.17,123.58,73.44,81,33,7.67
Arman',RU,59.7,150.17,50.16,68,100,9.6
Minas,UY,-34.38,-55.24,55.4,93,90,31.09
Oriximiná,BR,-1.77,-55.87,86.65,67,7,4.38
Inongo,CD,-1.95,18.27,73.65,76,38,3.91
Weiser,US,44.25,-116.97,64.4,68,40,5.82
Wichian Buri,TH,15.66,101.11,77.04,92,100,7.7
Bosaso,SO,11.28,49.18,97.02,40,84,15.21
Labuhan,ID,-6.88,112.21,76.91,83,78,7.07
Sobolevo,RU,54.43,31.9,60.01,91,61,4.52
Puławy,PL,51.42,21.97,73.0,70,33,7.52
Weligama,LK,5.97,80.42,79.45,88,99,7.43
Nakhon Thai,TH,17.1,100.84,77.22,82,87,1.77
Tabuk,PH,17.42,121.44,75.58,85,97,2.13
College,US,64.86,-147.8,52.0,71,40,4.7
Wilmington Island,US,32.0,-80.97,100.0,47,40,10.29
Springdale,US,36.19,-94.13,82.0,88,90,16.02
Okhotsk,RU,59.38,143.3,51.82,60,11,11.77
Adrar,MR,20.5,-10.07,108.27,9,72,7.96
Vanavara,RU,60.34,102.28,63.32,92,90,2.84
Nioro,GM,13.35,-15.75,91.62,45,49,14.67
Tapes,BR,-30.67,-51.4,60.4,98,100,3.0
Muros,ES,42.78,-9.06,80.01,52,3,5.01
Druzhba,UA,52.04,33.95,61.86,96,84,6.8
Manokwari,ID,-0.87,134.08,79.75,71,96,5.86
Carmaux,FR,44.05,2.16,82.4,44,1,5.82
Ostrovnoy,RU,68.05,39.51,56.97,55,86,16.55
Saint-Pierre,RE,-21.34,55.48,68.0,60,17,6.93
Ouangani,YT,-12.85,45.14,77.0,73,34,12.75
Torbay,CA,47.67,-52.73,71.6,88,90,13.87
Valparai,IN,10.37,76.97,82.4,83,75,11.41
Viedma,AR,-40.81,-63.0,48.4,73,100,8.59
Tongzhou,CN,39.91,116.6,79.0,68,22,2.24
Agua Prieta,MX,31.3,-109.57,84.0,43,0,4.0
Virginia Beach,US,36.85,-75.98,91.0,43,75,6.93
Matara,LK,5.95,80.54,79.25,88,100,7.63
Itarema,BR,-2.92,-39.92,83.52,62,0,12.26
Correntina,BR,-13.34,-44.64,86.79,30,9,4.79
Broome,US,42.25,-75.83,73.0,68,75,10.29
Pemba,MZ,-12.97,40.52,78.8,69,40,21.92
Ayan,RU,56.45,138.17,51.08,90,98,9.6
Kilindoni,TZ,-7.91,39.67,78.58,77,48,19.37
Aktau,KZ,43.65,51.2,71.6,64,0,6.71
Maputo,MZ,-25.97,32.59,69.8,56,75,12.75
Gazojak,TM,41.19,61.4,80.6,16,0,3.56
Vangaindrano,MG,-23.35,47.6,66.18,89,11,7.2
Pangody,RU,65.85,74.49,49.89,79,100,10.67
San Cristobal,VE,7.77,-72.22,95.0,26,20,23.04
São João da Barra,BR,-21.64,-41.05,77.0,61,75,18.34
Santa Lucía,ES,27.91,-15.54,77.0,61,20,27.51
Balky,UA,47.38,34.94,82.4,54,43,1.86
Faanui,PF,-16.48,-151.75,78.28,76,37,26.28
Ambilobe,MG,-13.2,49.05,69.69,78,0,3.2
Gamba,GA,-2.65,10.0,71.73,81,0,6.58
Inhambane,MZ,-23.86,35.38,66.24,79,38,9.51
Yokadouma,CM,3.52,15.05,68.61,97,90,2.3
Lima,PE,-12.04,-77.03,64.67,73,46,9.48
Umluj,SA,25.02,37.27,84.24,51,0,5.32
Forbes,AU,-33.38,148.02,51.01,69,3,1.99
Whakatane,NZ,-37.96,176.99,37.0,95,40,8.81
Wum,CM,6.38,10.07,64.99,99,97,1.45
Xianyang,CN,34.34,108.7,82.0,78,84,4.47
Xai-Xai,MZ,-25.05,33.64,65.44,87,44,10.65
Horsham,GB,51.06,-0.33,63.0,93,75,6.93
Sijunjung,ID,-0.69,100.95,70.92,88,38,1.45
Imphal,IN,24.82,93.95,71.38,91,97,1.83
Gorontalo,ID,0.54,123.06,74.41,89,15,2.04
Ceres,US,37.59,-120.96,79.0,29,1,1.39
Poso,ID,-1.4,120.75,76.44,76,30,3.65
Shingū,JP,33.73,135.98,73.81,92,100,13.62
Hualmay,PE,-11.1,-77.61,67.28,67,48,9.62
Mitsamiouli,KM,-11.38,43.28,78.37,73,20,17.16
Ust-Tsilma,RU,65.44,52.15,52.99,74,81,3.58
Puerto Madero,MX,14.72,-92.42,89.6,62,40,3.36
Marsh Harbour,BS,26.54,-77.06,86.18,61,50,9.13
Kapoeta,SS,4.77,33.59,80.69,43,55,7.4
Morganton,US,35.75,-81.68,88.0,51,1,1.39
Fort Nelson,CA,58.81,-122.7,64.4,63,75,5.82
San Miguel de Tucumán,AR,-26.82,-65.22,71.6,24,29,13.87
Rumoi,JP,43.93,141.64,60.49,89,100,5.93
Mayor Pablo Lagerenza,PY,-19.93,-60.77,82.31,44,15,12.82
Meulaboh,ID,4.14,96.13,77.27,87,80,4.23
Berlevåg,NO,70.86,29.09,41.0,100,75,24.16
Makkah al Mukarramah,SA,21.43,39.83,90.25,29,10,8.88
Rapid Valley,US,44.06,-103.15,69.01,55,90,17.22
Pyaozerskiy,RU,65.83,31.17,52.61,95,100,11.48
Fukuechō,JP,32.69,128.84,71.87,82,78,19.01
Satuk,TR,41.23,32.38,63.16,77,0,0.16
Owando,CG,-0.48,15.9,73.65,91,88,2.08
Marsá Maţrūḩ,EG,31.35,27.25,75.2,83,40,14.99
Superior,US,46.72,-92.1,79.0,88,90,6.93
Istok,XK,42.78,20.49,78.8,41,41,9.17
Vostok,RU,46.49,135.88,50.61,98,0,1.92
Pital,CO,2.27,-75.8,82.06,53,11,5.7
Bara,NG,10.37,10.73,81.7,59,42,7.67
Korla,CN,41.76,86.15,73.36,19,0,5.23
Karratha,AU,-20.74,116.85,68.99,57,31,3.27
Nsanje,MW,-16.92,35.26,66.92,66,12,5.61
Najrān,SA,17.49,44.13,95.0,12,76,4.7
Stornoway,GB,58.21,-6.39,57.0,93,22,12.75
Kalemie,CD,-5.95,29.19,73.08,66,83,4.99
Xinzhou,CN,38.41,112.73,66.6,68,9,1.74
Touros,BR,-5.2,-35.46,84.2,62,20,13.87
Yerköy,TR,39.64,34.47,67.14,43,0,7.94
Olbia,IT,40.92,9.49,86.0,37,0,10.29
Chillicothe,US,39.33,-82.98,87.01,55,1,3.36
Chupa,RU,66.27,33.05,52.84,94,100,9.17
Sibolga,ID,1.74,98.78,77.94,84,94,3.38
Abbeville,FR,50.1,1.83,68.0,80,100,6.78
Mahon,ES,39.89,4.27,80.6,69,0,9.17
Troitsko-Pechorsk,RU,62.71,56.2,45.07,75,73,3.13
Caucayá,CO,-0.19,-74.78,93.04,44,2,1.14
Kondinskoye,RU,59.65,67.41,47.52,81,4,3.36
Pisco,PE,-13.7,-76.22,66.0,80,69,10.0
Coyhaique,CL,-45.58,-72.07,37.4,81,90,3.36
Banda Aceh,ID,5.56,95.32,79.54,80,81,4.29
Lahad Datu,MY,5.03,118.33,76.57,88,15,0.69
Kirakira,SB,-10.45,161.92,77.2,83,43,7.02
Pombas,CV,17.15,-25.02,82.4,54,20,24.16
Denpasar,ID,-8.65,115.22,80.6,94,40,10.29
Bubaque,GW,11.28,-15.83,81.27,77,75,10.58
Dudeştii Vechi,RO,46.05,20.48,79.0,44,0,3.36
Warrensburg,US,38.76,-93.74,84.99,69,99,8.05
Flin Flon,CA,54.77,-101.86,57.2,93,90,5.82
Srandakan,ID,-7.94,110.25,75.31,87,29,6.64
Jijiga,ET,9.35,42.8,68.59,67,53,16.02
Buala,SB,-8.14,159.59,78.03,80,19,3.13
Kenai,US,60.55,-151.26,54.0,71,1,6.93
Toamasina,MG,-18.17,49.38,69.8,88,20,0.89
